ID, Muhanda/Rubaya ,Gitega, Butamwa , Kabuye SW ,KIGALIAERO, Busasamana-Nyanza , Rurangazi , Kigoma , Simbi , Buruhukiro , Cyanika ku ishuri ,GIKONGOROMET, Kigeme ku ishuri , Gatare , Kaduha Sector , Mushubi Paroisse , Gitwe ,Byimana, Mwendo , Kivumu , Kibangu , Nyabinoni , Nyamabuye , Rugendabari , Kayenzi ,Twumba , Rwankeri , Rugera , Gatumba ,Muramba , Kabaya ,Nyange , Sovu ,Cyinzuzi,Rutongo,Mugambazi,Rutongo,Rusiga,Cyabingo,Janja,Minazi,Muyongwe,Nembaparoisse,Ruli,Rushashi,Remera,BusogoISAE,RhengeriAero,Kinigi,NyangeKabeza,Shingiro,Butaro,Kagogo,Ntaruka,Kinoni,Ruhunde,Rwesero,ByumbaMet, Rwamagana , Musha , Gasange , Gahini  , Mukarange ,KAWANGIRE
LON,29.63,30.06,30.03,30.07,30.11,29.76,29.65,29.63,29.7,29.38,29.6,29.55,29.53,29.69,29.53,29.45,29.7,29.71,29.68,29.8,29.68,29.68,29.78,29.66,29.85,29.36,29.51,29.61,29.63,29.6,29.5,29.58,29.52,30,30.05,30.05,29.95,29.95,29.68,29.67,29.78,29.87,29.78,29.81,29.86,29.75,29.55,29.61,29.56,29.51,29.5,29.83,29.76,29.75,29.71,29.93,30.16,30.05,30.43,30.35,30.29,30.5,30.5,30.43
LAT,-1.95,-1.96,-2.01,-1.89,-1.95,-2.35,-2.35,-2.46,-2.52,-2.38,-2.43,-2.48,-2.48,-2.16,-2.33,-2.36,-2.21,-2.16,-2.16,-2.05,-1.83,-1.76,-2.08,-1.95,-1.9,-2.24,-1.58,-1.61,-1.95,-1.75,-1.76,-2.05,-1.91,-1.76,-1.81,-1.8,-1.62,-1.61,-1.56,-1.68,-1.73,-1.72,-1.6,-1.81,-1.73,-1.53,-1.56,-1.48,-1.45,-1.46,-1.5,-1.41,-1.55,-1.46,-1.43,-1.6,-1.8,-1.6,-1.93,-1.91,-1.8,-1.85,-1.9,-1.81
19940403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940404,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940405,0,0,0,0,31.2,16,15,19,30,17,16,18,19,0,21,15,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940406,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940407,0,0,0,0,1.8,0,0,0,0,18,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940408,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940409,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940411,6,4,4,6,4.3,10,6,5,12,0,8,6,4,7,2,0,9,7,9,4,7,6,7,6,4,2,2,3,6,4,3,4,7,5,5,5,4,4,2,5,1,3,2,2,3,3,3,2,2,2,2,2,4,1,0,2,6,3,6,6,9,5,6,6
19940412,0,0,0,1,4.3,4,1,1,5,0,2,3,2,1,3,0,0,1,1,2,0,0,3,0,4,2,4,6,0,0,3,3,1,2,1,1,3,3,3,0,2,4,2,3,4,3,4,6,7,7,7,3,2,2,1,2,0,0,0,0,0,0,0,0
19940413,10,3,3,16,0,13,6,8,15,0,9,8,6,10,5,0,0,10,6,10,11,7,10,10,9,10,13,18,10,13,14,16,12,13,12,12,20,20,12,9,7,11,14,5,9,15,16,15,20,21,21,8,15,8,5,17,4,8,4,8,11,5,8,6
19940414,13,8,13,19,1.2,20,10,9,18,10,13,12,9,12,9,14,14,12,15,14,14,16,18,10,19,8,12,14,13,10,13,13,12,19,18,18,16,16,19,18,14,18,13,15,16,20,15,14,17,16,16,13,19,12,9,12,9,10,8,11,12,4,5,8
19940415,1,5,6,19,0,11,10,10,22,0,15,16,12,8,9,3,0,8,0,10,3,7,12,2,10,7,9,14,1,2,10,7,1,19,16,16,18,18,16,7,11,16,12,12,15,17,16,12,12,11,12,11,16,10,8,13,8,6,6,12,14,5,4,10
19940416,5,1,6,6,1.3,11,8,6,9,3,8,9,10,7,8,4,6,7,9,8,7,12,11,6,9,6,4,4,5,8,8,10,8,5,6,6,6,6,6,12,5,6,4,5,5,3,7,3,4,8,6,4,4,2,3,5,0,8,3,3,0,3,4,1
19940417,0,0,1,0,0,3,0,1,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,3,1,0,0,0,0,2,2,2,1,3,2,1,0,3,2,7,3,4,7,6,0,2,1,2,3,0,0,0,2,0,0,0,0
19940418,3,2,1,5,8.9,4,1,4,7,5,3,8,7,1,2,6,0,1,0,1,11,10,3,4,9,5,10,5,3,10,7,8,8,7,7,7,7,7,6,12,7,6,6,5,6,7,11,9,12,12,11,6,7,6,7,5,0,5,0,1,1,1,0,1
19940419,6,2,4,6,4.2,6,6,3,8,11,6,9,9,4,9,11,9,4,9,4,9,9,6,7,6,7,8,9,6,7,7,8,8,9,7,7,7,7,10,14,6,7,6,6,7,13,11,12,12,9,11,8,12,10,7,6,3,5,5,8,1,5,6,3
19940420,8,4,7,8,6.3,14,9,3,7,13,11,10,9,6,11,18,6,6,7,7,8,13,9,6,6,8,8,11,8,14,15,8,12,9,8,8,7,7,10,24,8,8,7,5,7,9,9,8,7,7,7,7,8,6,4,6,10,10,16,12,8,13,14,13
19940421,0,0,0,0,0,3,2,2,2,1,2,4,3,1,2,0,0,1,0,2,0,0,2,0,0,1,2,0,0,0,2,1,0,0,0,0,2,2,0,0,1,0,1,0,0,1,3,2,3,3,4,0,0,0,1,0,0,0,0,1,0,0,0,0
19940422,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19940423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,6,7,6,0,3,5,1,3,0,0,0,0,0,3,1,0,0,4,0,0,4,8,7,10,10,12,0,0,1,0,0,0,0,0,0,0,0,0,0
19940424,29,22,23,35,19.7,37,27,21,36,28,28,27,23,20,28,44,40,20,30,22,40,49,25,31,26,25,25,36,29,44,30,24,37,27,30,30,41,41,41,75,29,36,34,24,34,45,34,36,34,28,30,30,43,30,24,28,33,33,37,31,36,25,26,29
19940425,9,9,8,23,18.9,23,23,19,32,11,23,24,17,14,21,16,0,14,13,16,8,6,22,6,18,14,12,14,9,8,18,14,12,20,19,19,26,26,17,5,18,21,18,14,19,24,14,16,15,15,15,13,25,16,13,16,7,9,4,16,11,5,5,1
19940426,0,0,0,2,4.3,2,2,2,3,0,2,4,3,0,3,1,0,0,0,0,2,3,0,0,2,0,0,0,0,0,2,0,0,3,3,3,1,1,1,0,2,2,0,2,2,1,1,1,1,0,0,0,1,0,1,1,3,0,0,0,0,0,0,0
19940427,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,2,3,0,0,0,2,0,1,2,1,3,3,3,3,3,1,0,1,2,1,2,2,3,1,2,2,1,2,1,2,1,0,2,1,1,0,0,1,0,0,0
19940428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940429,4,3,1,10,2.1,10,14,7,8,11,12,15,10,10,12,10,4,10,4,7,6,6,9,4,9,15,6,9,4,3,11,12,8,14,12,12,17,17,8,6,12,13,11,7,12,10,8,10,10,9,10,6,13,8,6,10,3,6,0,3,4,0,0,0
19940430,18,13,14,17,7.6,16,5,5,7,2,6,5,4,6,5,1,2,6,10,11,14,19,13,15,11,6,10,14,18,16,12,12,12,12,13,13,13,13,11,23,12,11,13,8,12,20,12,12,14,16,17,12,20,13,12,10,13,14,32,21,26,28,31,34
19940501,0,15,12,13,8.3,0,0,0,0,16,0,0,0,17,15,15,17,17,17,0,0,0,0,0,0,13,0,8,0,8,8,14,0,0,7,7,16,16,13,0,0,9,0,0,8,11,0,6,10,10,10,12,11,11,14,14,12,23,27,20,17,37,27,30
19940502,0,0,0,0,8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,7,7,6
19940503,0,7,12,7,8.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11,7,0,0
19940504,13,0,0,0,7.8,0,0,0,28,16,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,13,10,8,13,0,0,0,17,0,0,0,8,8,6,0,0,0,7,0,0,5,10,6,0,0,0,12,6,6,14,7,0,0,14,13,6,7,14,6
19940505,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940506,12,23,12,22,37.1,21,23,33,0,30,24,35,35,18,21,23,18,18,18,12,16,15,11,14,0,18,0,0,12,12,13,19,18,12,20,20,16,16,13,0,0,13,13,11,11,11,0,0,0,0,0,11,11,0,16,14,21,17,15,26,21,30,15,24
19940507,12,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,14,14,0,0,0,12,0,0,0,0,12,10,10,0,0,0,0,0,13,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940508,0,0,0,0,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,0,0,0,0,0,0,0,0,0
19940509,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,13,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0
19940510,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,12,13,0,0,0,0,0,16,16,13,0,0,0,0,0,11,11,0,15,13,13,13,11,11,12,16,14,0,0,0,0,0,0,0,0
19940511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940513,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
19940514,15,0,0,0,0,0,0,0,0,10,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940515,0,10,0,9,1.6,22,25,0,20,19,25,18,18,19,23,29,19,19,19,0,0,0,15,0,0,27,0,0,0,0,0,21,0,0,8,8,13,13,0,0,0,10,0,0,9,10,0,10,0,0,0,15,8,10,13,11,8,12,11,10,7,12,10,9
19940516,0,20,16,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,29,28,39,0,28,0
19940517,0,20,16,20,15.8,24,28,0,0,14,21,0,0,0,0,19,0,0,0,19,19,19,18,0,15,0,0,23,0,0,0,0,0,27,21,21,0,0,31,24,21,29,20,24,25,26,0,0,0,0,0,0,22,27,0,0,20,33,0,0,19,0,0,0
19940518,24,0,0,0,0,0,0,0,0,14,21,0,0,21,25,19,22,21,21,0,19,19,0,23,0,22,30,23,24,27,29,0,22,0,0,0,0,0,0,24,21,0,20,0,0,0,30,25,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0
19940519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0
19940525,0,34,34,33,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,19,0,21,0,0,0,0,0,0,0,0,21,19,19,30,30,0,0,0,23,0,20,19,19,0,19,16,16,16,19,17,0,0,23,32,27,41,39,32,27,41,35
19940526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
19940528,28,42,0,40,42,46,45,35,79,31,27,82,82,35,43,25,36,35,35,21,35,33,18,21,21,34,20,30,28,27,29,24,45,26,23,23,36,36,28,22,20,23,22,21,20,24,20,24,19,19,19,37,21,36,32,23,51,55,48,43,38,54,47,28
19940529,0,0,0,0,0,23,23,35,0,31,27,0,0,18,21,25,18,18,18,21,17,17,35,42,21,17,0,0,0,0,0,24,0,0,0,0,0,0,0,22,20,23,0,21,20,0,0,0,0,0,0,0,0,0,0,23,0,0,0,21,0,0,0,0
19940530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,19,19,19,0,0,0,0,0,0,0,0,0,0,0,0,14
19940531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940609,0,3,0,3,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,5,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,11,0,0,3,5,0,0,0,0,0,0
19940610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,10,9,9,9,8,0,0,7,0,0,0,0,0,0,0,0,0
19940612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
19940614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,11,11,0,0,0,7,0,0,0,0,0,0,0,0,0
19940620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940621,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,2,0,0,0,0,0,0,0
19940622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
19940623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,5,0,0,0,0,0,0,0,0,0
19940628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940629,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940630,16,0,0,0,0,1,7,9,7,17,7,17,17,11,9,15,10,11,11,0,15,16,10,15,10,19,12,15,16,23,27,19,30,0,0,0,0,0,10,17,14,0,17,14,14,16,12,9,10,10,10,0,12,14,5,11,0,0,5,0,0,0,6,0
19940701,9,8,8,7,8,6,6,5,6,13,7,8,8,7,9,11,7,7,7,8,8,8,8,8,7,14,13,9,9,9,11,10,11,7,6,6,7,7,10,9,7,9,7,7,8,9,13,13,11,11,11,10,7,12,13,6,6,7,7,7,6,7,7,5
19940702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19940703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19940708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
