ID, Muhanda/Rubaya ,Gitega, Butamwa , Kabuye SW ,KIGALIAERO, Busasamana-Nyanza , Rurangazi , Kigoma , Simbi , Buruhukiro , Cyanika ku ishuri ,GIKONGOROMET, Kigeme ku ishuri , Gatare , Kaduha Sector , Mushubi Paroisse , Gitwe ,Byimana, Mwendo , Kivumu , Kibangu , Nyabinoni , Nyamabuye , Rugendabari , Kayenzi ,Twumba , Rwankeri , Rugera , Gatumba ,Muramba , Kabaya ,Nyange , Sovu ,Cyinzuzi,Rutongo,Mugambazi,Rutongo,Rusiga,Cyabingo,Janja,Minazi,Muyongwe,Nembaparoisse,Ruli,Rushashi,Remera,BusogoISAE,RhengeriAero,Kinigi,NyangeKabeza,Shingiro,Butaro,Kagogo,Ntaruka,Kinoni,Ruhunde,Rwesero,ByumbaMet, Rwamagana , Musha , Gasange , Gahini  , Mukarange ,KAWANGIRE
LON,29.63,30.06,30.03,30.07,30.11,29.76,29.65,29.63,29.7,29.38,29.6,29.55,29.53,29.69,29.53,29.45,29.7,29.71,29.68,29.8,29.68,29.68,29.78,29.66,29.85,29.36,29.51,29.61,29.63,29.6,29.5,29.58,29.52,30,30.05,30.05,29.95,29.95,29.68,29.67,29.78,29.87,29.78,29.81,29.86,29.75,29.55,29.61,29.56,29.51,29.5,29.83,29.76,29.75,29.71,29.93,30.16,30.05,30.43,30.35,30.29,30.5,30.5,30.43
LAT,-1.95,-1.96,-2.01,-1.89,-1.95,-2.35,-2.35,-2.46,-2.52,-2.38,-2.43,-2.48,-2.48,-2.16,-2.33,-2.36,-2.21,-2.16,-2.16,-2.05,-1.83,-1.76,-2.08,-1.95,-1.9,-2.24,-1.58,-1.61,-1.95,-1.75,-1.76,-2.05,-1.91,-1.76,-1.81,-1.8,-1.62,-1.61,-1.56,-1.68,-1.73,-1.72,-1.6,-1.81,-1.73,-1.53,-1.56,-1.48,-1.45,-1.46,-1.5,-1.41,-1.55,-1.46,-1.43,-1.6,-1.8,-1.6,-1.93,-1.91,-1.8,-1.85,-1.9,-1.81
19810116,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,0,0,3,3,5,1,7,0,0,14,9,0,0,0.2,0,0,0,0,0,2,5,4.5,0,0,3,0,0,4,6,1
19810117,0,0,1.2,0,0.2,1,0,0,0,3,12.5,0,4.3,3,14.9,9,0,3.5,0,19,7,29,26.2,0,0,6,5,9,0,29,6,7,0,0,0,0,3,3,22,47,4,0,33,0,0,16,6,11.4,10.5,5,2,11,19,0,0,10,0,0,20,4,0,18,26,7
19810118,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,27,0,0,29,0,1.1,0.7,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0
19810119,0,0,0,0,0,0,0,7,2,0,6.8,7.3,4.9,1,9,4,0,1.3,0,0,4,2,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
19810120,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19810121,36,5,7.3,13,1,19,0,5,0,7,9.4,8.3,13,4,21,20,17.6,4.9,21,0,0,0,0,32,8,7,0,0,36,0,2,9,27,14,15,15,0,0,0,0,0,0,2,7,1,0,0,6.5,18.8,14,6,3,0,3,6,1.2,0,0,2,0,0,0,1,1
19810122,4,0,0.3,1,0,29,23,0,0,2,0,28.8,18.2,1,0,0,0,1.1,0,0,3.7,9,0,0,0,5,6,14,4,8,7,12,8,11,9,9,0,0,21,32,0,6,7,0,5,18,6,7.2,23.7,27,20,23,5,29,22,0,6,0,0,0,0,0,0,0
19810123,3,0,0,0,0,0,8,0,15,0,0,0,0,0,0,3,0,0.1,0,0,0,7,0,0,18,10,0,0,3,10,6,33,0,0,0,0,0,0,0,13,7,0,8,0,2,0,0,0,23.4,23,12,0,0,0,2,0,0,0,0,0,0,0,0,0
19810124,0,0,0.7,1,0,0,0,0,0,10,0,0,0,0,16.5,15,0,0,0,0,14,16,0,0,0,1,1,10,0,12,6,3,0,0,0,0,0,0,10,27,0,0,3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0
19810125,0,11,2.9,3,8.3,0,0,0,0,2,1,0,0,0,0,0,3.9,0,0,0,2.5,8,0,0,0,1,0,15,0,7,1,0,1,0,0,0,0,0,8,25,0,0,5,0,0,0,0,0,1.3,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0
