ID, Muhanda/Rubaya ,Gitega, Butamwa , Kabuye SW ,KIGALIAERO, Busasamana-Nyanza , Rurangazi , Kigoma , Simbi , Buruhukiro , Cyanika ku ishuri ,GIKONGOROMET, Kigeme ku ishuri , Gatare , Kaduha Sector , Mushubi Paroisse , Gitwe ,Byimana, Mwendo , Kivumu , Kibangu , Nyabinoni , Nyamabuye , Rugendabari , Kayenzi ,Twumba , Rwankeri , Rugera , Gatumba ,Muramba , Kabaya ,Nyange , Sovu ,Cyinzuzi,Rutongo,Mugambazi,Rutongo.1,Rusiga,Cyabingo,Janja,Minazi,Muyongwe,Nembaparoisse,Ruli,Rushashi,Remera,BusogoISAE,RhengeriAero,Kinigi,NyangeKabeza,Shingiro,Butaro,Kagogo,Ntaruka,Kinoni,Ruhunde,Rwesero,ByumbaMet, Rwamagana , Musha , Gasange , Gahini  , Mukarange ,KAWANGIRE
20121205,0.1,0.9,0.0,6.5,0.7,0.0,14.2,23.0,0.0,0.0,20.2,19.0,12.0,2.0,12.0,0.0,7.1,2.0,0.0,10.0,0.0,5.0,13.6,2.4,0.5,0.0,3.0,1.6,4.5,0.9,4.0,4.0,0.0,29.0,11.3,20.8,5.3,5.0,40.5,20.9,0.0,29.0,21.6,4.0,20.2,7.5,0.0,1.7,2.4,14.2,12.3,0.0,1.0,0.6,0.3,6.2,12.8,2.2,11.2,11.8,0.0,0.0,0.0,9.3
20121206,3.2,1.7,0.0,18.4,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.1,0.0,1.0,0.0,1.5,9.0,0.3,7.0,3.6,19.0,7.9,0.0,0.0,0.0,6.3,3.8,0.8,28.0,0.0,11.0,21.7,3.8,0.2,15.2,0.9,0.0,5.9,0.0,2.0,0.7,0.0,8.3,15.9,0.0,25.1,3.2,0.0,0.0,0.0,5.5
20121207,0.0,2.9,0.0,8.4,2.9,3.7,0.0,9.0,2.0,8.4,5.0,5.3,0.0,0.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.3,0.0,0.0,15.0,12.0,5.4,19.0,0.0,1.5,9.0,0.0,0.0,15.4,15.5,0.0,0.0,0.0,15.3,0.0,23.0,0.4,12.0,23.1,0.0,8.3,0.0,0.8,0.0,8.6,0.0,2.0,16.0,18.7,5.7,13.4,0.0,40.3,8.1,53.0,8.5,0.0,2.0
20121208,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,10.4,6.2,0.0,0.0,14.5,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,2.0,17.0,0.0,3.3,0.0,7.0,0.0,0.0,0.0,3.7,0.0,0.9,0.0,0.0,0.0,0.0,25.0,1.8,7.0,24.2,0.0,18.2,7.3,1.4,4.6,0.0,0.0,0.0,0.0,0.5,0.0,7.8,0.0,24.1,0.0,0.0,0.0,0.0,0.0
20121209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,11.3,8.2,9.7,9.2,0.0,0.0,7.0,5.0,1.8,0.2,0.0,0.0,0.0,3.0,0.0,3.0,0.0,5.0,0.0,10.4,2.5,6.0,15.0,0.0,18.1,0.0,6.1,0.0,0.0,0.0,0.0,20.0,0.0,25.0,1.0,8.0,26.7,0.0,0.3,14.2,1.0,0.0,2.9,0.0,0.0,0.0,0.9,0.0,3.1,0.0,0.0,0.0,12.2,0.0,0.0,0.0
20121210,0.0,1.8,1.0,0.0,2.5,0.0,3.1,77.0,20.0,9.6,48.6,49.9,11.0,1.0,32.0,10.0,1.9,1.5,0.0,8.0,0.0,2.0,8.6,0.0,0.0,0.0,7.0,0.0,0.0,2.3,8.0,0.0,2.1,0.0,0.0,4.8,14.8,14.0,0.0,2.8,0.0,22.0,3.3,8.0,24.8,16.8,7.6,3.0,11.2,0.0,3.2,0.0,12.0,0.7,13.4,0.0,0.0,8.3,10.8,0.0,0.0,0.0,0.0,1.0
20121211,0.0,0.4,4.0,0.0,0.0,15.5,12.5,26.0,26.4,10.2,8.1,7.3,15.0,3.0,0.0,8.0,0.0,3.4,0.0,12.0,0.0,0.0,5.4,8.1,2.0,0.0,5.0,14.7,0.0,1.3,0.2,9.0,3.1,0.0,0.0,30.4,0.0,0.0,36.2,0.0,0.0,22.0,0.1,5.0,21.9,2.1,10.6,11.5,0.0,0.0,2.7,0.0,0.0,0.3,0.8,5.6,0.0,1.4,0.0,0.0,0.0,5.7,0.0,19.7
20121212,0.0,6.5,18.0,0.0,0.0,0.0,0.0,1.0,7.7,6.2,4.2,5.4,35.5,0.0,4.0,18.0,2.1,0.0,23.2,3.0,0.0,1.0,6.8,2.2,2.2,0.0,18.0,0.0,2.3,0.7,0.0,2.0,5.3,0.0,11.0,70.6,0.0,0.0,2.5,5.2,0.0,22.0,0.0,10.0,27.3,0.0,16.2,0.0,0.0,0.0,16.8,0.7,0.0,10.1,0.0,0.0,0.0,0.0,6.9,0.0,0.0,0.0,0.0,0.0
20121213,0.3,6.2,2.0,10.3,6.8,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0,0.0,0.0,4.6,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,10.3,9.5,0.0,0.0,4.0,0.0,12.8,0.0,0.0,0.0,0.0,10.3,0.0,0.0,12.0,0.0,2.0,7.4,0.0,19.7,0.0,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7,0.0,5.6,0.0,7.4,0.0,12.3
20121214,0.0,0.0,0.0,17.8,0.0,8.8,6.0,11.0,10.0,18.2,3.8,3.2,0.0,0.0,4.0,8.0,1.9,0.3,0.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,1.0,4.1,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.3,1.0,0.0,0.0,2.3,6.8,1.8,1.0,9.5,7.2,0.0,0.0,4.0,0.0,21.2,0.0,0.0,0.0,20.3,0.0,11.4,0.0,0.0,4.1
